City,Furnishing,BHK,Property_Type,Price_Lac
Kozhikode,Furnished,1,Flat,44.0
Kozhikode,Semi-Furnished,1,Flat,41.0
Kozhikode,Furnished,1,Flat,17.0
Kozhikode,Furnished,1,Flat,23.0
Kozhikode,Furnished,1,Flat,30.0
Kozhikode,Semi-Furnished,1,Flat,45.0
Kozhikode,Unfurnished,3,Flat,109.0
Kozhikode,Furnished,3,House,200.0
Kozhikode,Unfurnished,4,Villa,300.0
Kozhikode,Unfurnished,4,House,130.0
Kozhikode,Unfurnished,4,House,300.0
Kozhikode,Unfurnished,3,Villa,65.0
Kozhikode,Unfurnished,3,House,165.0
Kozhikode,Unfurnished,2,Flat,95.0
Kozhikode,Unfurnished,2,Flat,43.5
Kozhikode,Furnished,3,Flat,300.0
Kozhikode,Furnished,3,Flat,90.0
Kozhikode,Furnished,3,Flat,90.0
Kozhikode,Semi-Furnished,2,Flat,95.0
Kozhikode,Unfurnished,3,House,94.9
Kozhikode,Unfurnished,3,Villa,39.0
Kozhikode,Unfurnished,4,Villa,39.0
Kozhikode,Unfurnished,4,House,50.0
Kozhikode,Unfurnished,3,Flat,128.0
Kozhikode,Semi-Furnished,3,Flat,55.0
Kozhikode,Unfurnished,3,Flat,200.0
Kozhikode,Unfurnished,2,Flat,60.0
Kozhikode,Unfurnished,4,House,175.0
Kozhikode,Furnished,2,Flat,85.0
Kozhikode,Unfurnished,4,House,57.0
Kozhikode,Furnished,4,House,144.0
Kozhikode,Furnished,4,House,75.0
Kozhikode,Semi-Furnished,4,House,65.0
Kozhikode,Furnished,2,Flat,52.0
Kozhikode,Furnished,3,Flat,96.0
Kozhikode,Unfurnished,3,Flat,75.0
Kozhikode,Furnished,3,Flat,95.0
Kozhikode,Semi-Furnished,2,Flat,84.0
Kozhikode,Unfurnished,3,Flat,70.0
Kozhikode,Unfurnished,3,Flat,190.0
Kochi,Unfurnished,1,Flat,30.5
Kochi,Unfurnished,1,Flat,42.0
Kochi,Unfurnished,1,Flat,51.8
Kochi,Semi-Furnished,1,Flat,43.0
Kochi,Unfurnished,1,Flat,47.0
Kochi,Unfurnished,1,Flat,22.0
Kochi,Unfurnished,1,Flat,45.0
Kochi,Semi-Furnished,1,Flat,35.0
Kochi,Furnished,1,Flat,48.0
Kochi,Semi-Furnished,1,Flat,49.0
Kochi,Furnished,1,Flat,35.0
Kochi,Unfurnished,1,Flat,45.0
Kochi,Semi-Furnished,1,House,65.0
Kochi,Semi-Furnished,1,Flat,24.0
Kochi,Unfurnished,1,House,25.0
Kochi,Semi-Furnished,1,Flat,37.0
Kochi,Furnished,1,Flat,40.0
Kochi,Semi-Furnished,1,Flat,31.0
Kochi,Semi-Furnished,1,Flat,23.0
Kochi,Furnished,1,Flat,29.5
Kochi,Furnished,1,Flat,40.0
Kochi,Semi-Furnished,1,Flat,41.0
Kochi,Semi-Furnished,1,Flat,21.0
Kochi,Unfurnished,1,Flat,19.0
Kochi,Semi-Furnished,1,Flat,59.0
Kochi,Furnished,1,Flat,24.0
Trivandrum,Unfurnished,1,Flat,36.0
Trivandrum,Semi-Furnished,1,Flat,43.0
Trivandrum,Unfurnished,1,Flat,60.0
Trivandrum,Semi-Furnished,1,Flat,55.0
Trivandrum,Unfurnished,1,House,80.0
Trivandrum,Unfurnished,1,Flat,30.0
Trivandrum,Furnished,1,Flat,45.0
Trivandrum,Semi-Furnished,1,House,103.0
Trivandrum,Unfurnished,1,House,25.0
Trivandrum,Unfurnished,1,Villa,22.0
Trivandrum,Unfurnished,1,Flat,30.0
Trivandrum,Semi-Furnished,1,House,17.0
Trivandrum,Unfurnished,2,Flat,53.1
Trivandrum,Unfurnished,2,Flat,59.5
Trivandrum,Unfurnished,3,Flat,84.3
Trivandrum,Unfurnished,3,Flat,83.7
Trivandrum,Unfurnished,3,Flat,82.6
Trivandrum,Unfurnished,2,Flat,62.4
Trivandrum,Unfurnished,3,Flat,75.4
Trivandrum,Unfurnished,4,Villa,192.0
Trivandrum,Unfurnished,3,Flat,85.9
